iter	MAE
0	24.20289387
1	24.08593797
2	23.97002824
3	23.85555014
4	23.74105888
5	23.62587748
6	23.50917094
7	23.39496016
8	23.2833927
9	23.17643167
10	23.06703437
11	22.96667922
12	22.86733854
13	22.76511953
14	22.66640188
15	22.5770832
16	22.48546852
17	22.39080724
18	22.29624533
19	22.20599162
20	22.1155499
21	22.02678617
22	21.9431675
23	21.86277464
24	21.7808081
25	21.70158035
26	21.62406819
27	21.54445435
28	21.46834492
29	21.38990615
30	21.31366385
31	21.24340691
32	21.17317118
33	21.10350765
34	21.03438665
35	20.96406822
36	20.89749813
37	20.82704278
38	20.75921923
39	20.6983615
40	20.6376793
41	20.5785753
42	20.52002814
43	20.46084517
44	20.40454487
45	20.34813974
46	20.29350778
47	20.23925483
48	20.18878753
49	20.13982003
50	20.09209934
51	20.04658099
52	19.99922386
53	19.95381295
54	19.90728239
55	19.86442929
56	19.82043277
57	19.78115491
58	19.73943905
59	19.69701533
60	19.66004399
61	19.62551067
62	19.58934699
63	19.55420975
64	19.52165333
65	19.48593457
66	19.45041906
67	19.42098043
68	19.38547588
69	19.35076749
70	19.31842562
71	19.28496123
72	19.25429717
73	19.22724452
74	19.19889153
75	19.16901
76	19.14060624
77	19.11045208
78	19.07814486
79	19.04768116
80	19.02005513
81	18.99254326
82	18.96297029
83	18.93559155
84	18.9075413
85	18.8766776
86	18.85101102
87	18.82525133
88	18.79980071
89	18.77622128
90	18.75092135
91	18.72470229
92	18.69953427
93	18.6733564
94	18.64925519
95	18.62557093
96	18.60327843
97	18.58287562
98	18.55974524
99	18.53593619
100	18.51301971
101	18.49023914
102	18.46594992
103	18.44689762
104	18.4271567
105	18.40715515
106	18.38805711
107	18.36651144
108	18.34597131
109	18.32565234
110	18.30608201
111	18.28669393
112	18.26540213
113	18.24604922
114	18.22673546
115	18.20835912
116	18.19036091
117	18.17211999
118	18.15551403
119	18.14010049
120	18.12117227
121	18.10265906
122	18.09008072
123	18.07225223
124	18.05483951
125	18.03800586
126	18.01779837
127	17.99912743
128	17.98468562
129	17.96888779
